System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
Covenant Health - TN,Fort Loudoun Medical Center-Tennessee,0.2196574832,0.1268939394,35.786261,-84.218486,No Different than the National Rate,72,89,No Different than National Benchmark,No Different than the National Rate,7.59E-02,70144.4612,2021,20296622,11764910,2753514,38870118,5669364,39132203,-18558562,3910874
Covenant Health - TN,Fort Sanders Regional Medical Center-Tennessee,0.1397106369,0.1293216451,35.952705,-83.934373,No Different than the National Rate,75,90,No Different than National Benchmark,No Different than the National Rate,5.34E-02,67295.47191,18798,240605919,138847726,49372251,31502531,144860941,34422577,218512063,31467656
HCA,Fort Walton Beach Medical Center-Florida,0.4848425677,0.4029100529,30.462345,-86.645209,No Different than the National Rate,65,88,No Different than National Benchmark,No Different than the National Rate,6.55E-02,75973.44177,14066,144615929,80234600,19818163,15502302,6684667,-111240477,168603529,62362915
No Known Affiliation,Foundation Bariatric Hospital-San Antonio-Texas,3.93E-03,9.20E-03,29.524633,-98.607918,No Different than the National Rate,87,95,Not Available,No Different than the National Rate,8.02E-02,75486.40327,1325,31976814,20416514,14736827,10531146,13607562,12755816,3159007,12451506
No Known Affiliation,Foundation Surgical Hospital Of El Paso-Texas,9.30E-03,2.02E-02,31.758717,-106.29286,No Different than the National Rate,71,89,Not Available,No Different than the National Rate,7.40E-02,58587.09024,814,22163103,12852749,8611744,10727225,16814719,23773579,4897650,15283575
Tenet,Fountain Valley Regional Hospital & Medical Center - Euclid-California,0.1562527115,6.50E-02,33.710345,-117.951428,No Different than the National Rate,64,86,No Different than National Benchmark,No Different than the National Rate,1.20E-02,96995.45965,21911,188839940,98168311,14541279,72667835,166468475,76888800,189214266,103645766
Adventist Health System,Frank R Howard Memorial Hospital-California,8.49E-02,7.93E-02,39.472739,-123.375942,No Different than the National Rate,89,93,Not Available,No Different than the National Rate,1.63E-02,55786.40644,1195,14908194,7859322,2078581,6854965,30880583,32229015,62292842,7359286
No Known Affiliation,Frank R. Howard Memorial Hospital-California,2.38E-02,1.93E-02,39.472739,-123.375942,No Different than the National Rate,89,93,Not Available,No Different than the National Rate,1.53E-02,59378.54814,239,2858948,1580167,500746,6854965,30880583,32229015,62292842,7359286
HCA,Frankfort Regional Medical Center-Kentucky,0.5699520671,0.4196642686,38.233259,-84.882592,No Different than the National Rate,65,88,No Different than National Benchmark,No Different than the National Rate,1.98E-02,66257.77957,6452,59871999,34865982,8929523,6848694,18341083,-29996502,78637964,21130779
QHR,Franklin Foundation Hospital-Louisiana,0.236273905,0.2461538462,29.721992,-91.55597,No Different than the National Rate,70,Not Available,Not Available,No Different than the National Rate,-1.44E-02,55306.90833,588,4676377,2720814,521377,8936378,15678313,8936378,20563127,2952429
No Known Affiliation,Franklin Medical Center-Louisiana,0.1540073337,0.1694117647,32.148676,-91.704268,No Different than the National Rate,63,Not Available,No Different than National Benchmark,No Different than the National Rate,1.98E-03,47756.45111,519,3914373,3304920,2163834,2325212,6605079,5770996,9689087,1566312
Mountain States Health Alliance,Franklin Woods Community Hospital-Tennessee,0.1517243647,0.25446898,36.302436,-82.3838,No Different than the National Rate,85,93,No Different than National Benchmark,No Different than the National Rate,4.16E-02,59035.63811,6220,49627671,31154206,11265746,10507876,12738010,21945801,92389879,17020059
KentuckyOne Health,Frazier Rehab Institute-Kentucky,9.06E-03,1.00E-02,38.257439,-85.753247,,,,,,4.37E-02,71333.79517,1927,27919711,17111044,4789946,,,,,
Great Plains Health Alliance Inc.,Fredonia Regional Hospital-Kansas,5.24E-02,2.44E-02,37.561026,-95.865282,No Different than the National Rate,70,Not Available,Not Available,No Different than the National Rate,-9.95E-03,53108.68548,554,3600653,2243130,340582,2488362,5262549,13171173,2970868,852324
Freeman Health System,Freeman Health System - Joplin Mo-Missouri,0.3888005357,0.476745613,37.018984,-94.508752,No Different than the National Rate,70,88,Better than the National Benchmark,No Different than the National Rate,2.41E-02,55751.15305,19180,226460504,131331275,46830138,60030533,96757574,213082669,230793555,45581918
Freeman Health System,Freeman Neosho Hospital - Neosho Mo-Missouri,0.1226061615,6.65E-02,36.863302,-94.398659,Not Available,Not Available,Not Available,Not Available,Not Available,2.83E-02,53418.40184,842,6465721,3702288,574497,3029689,5733392,3994599,34224602,4564992
Universal Health Services Inc.,Fremont Hospital-California,6.23E-03,1.27E-02,37.499163,-121.977915,,,,,,2.45E-02,113553.0811,5451,32034597,23146731,6107103,,,,,
Dignity Health,French Hospital Medical Center-California,0.2017814727,0.1978798587,35.234956,-120.62019,No Different than the National Rate,81,91,No Different than National Benchmark,No Different than the National Rate,4.09E-02,89405.51192,4806,62518258,35634816,14202129,16983372,19856021,58002923,25760670,14062980
Community Medical Centers,Fresno Heart And Surgical Hospital-California,1.70E-02,3.33E-02,36.85913,-119.761097,,,,,,4.96E-02,66973.14869,3012,61018139,38381914,21854709,,,,,
No Known Affiliation,Fresno Surgical Hospital-California,1.16E-02,2.09E-02,36.823168,-119.760437,No Different than the National Rate,91,95,Not Available,No Different than the National Rate,5.95E-02,70417.69783,2063,49394624,29669482,20146711,11042693,12863068,19863974,7709225,14391985
No Known Affiliation,Frio Regional Hospital-Texas,0.1626399529,9.14E-02,28.873624,-99.107426,No Different than the National Rate,59,Not Available,Not Available,No Different than the National Rate,-2.46E-02,49476.05152,379,1952392,1084613,66150,1538515,9530653,1712269,9120740,1645414
South Carolina Department of Mental Health,G. Werber Bryan Psychiatric-South Carolina,4.46E-03,2.64E-04,34.10457,-81.045378,,,,,,5.27E-02,62748.83575,1982,6134447,2700525,-3738028,,,,,
Prime Healthcare Services,Garden Grove Hospital And Medical Center-California,5.96E-02,1.54E-02,33.763869,-117.931278,No Different than the National Rate,61,86,Not Available,No Different than the National Rate,3.22E-03,84157.37458,7452,47748651,23734248,-2191675,24053919,50555554,50557648,39387102,6088610
No Known Affiliation,Gardens Regional Hospital And Medical Center-California,1.43E-02,3.70E-03,33.830637,-118.073393,No Different than the National Rate,53,80,Not Available,No Different than the National Rate,7.64E-04,75903.01031,3120,27048054,14915616,2455488,24354768,9766842,26494775,-12790235,-6025754
AHMC & Healthcare Inc.,Garfield Medical Center-California,8.57E-02,3.74E-02,34.051855,-118.145927,No Different than the National Rate,67,87,No Different than National Benchmark,No Different than the National Rate,-1.80E-03,71609.67142,15624,118766070,62085286,4706013,119010613,150043541,150191211,47234485,40605336
Universal Health Services Inc.,Garland Behavioral Hospital-Texas,3.41E-03,0,32.913873,-96.674662,,,,,,4.76E-02,76339.91291,931,2227368,712546,-2123713,,,,,
Vibra Healthcare,Gateway Rehabilitation Hosp At Florence-Kentucky,2.10E-02,1.66E-02,38.987563,-84.648829,,,,,,6.05E-02,81684.64079,1095,13996348,8734189,2688571,,,,,
No Known Affiliation,Gateways Hospital And Mental Health Center-California,1.38E-03,3.77E-05,34.07874,-118.263756,,,,,,-6.31E-04,69317.92315,900,2373161,984421,-1682530,,,,,
No Known Affiliation,Geary Community Hospital-Kansas,0.4219858156,0.4410480349,38.982864,-96.772039,No Different than the National Rate,78,91,Not Available,No Different than the National Rate,6.37E-02,56226.78455,1365,9363383,5350804,1242409,4819266,12827619,26625250,28516845,-953967
Franklin County,George E Weems Memorial Hospital-Florida,0.1090909091,3.25E-02,29.719876,-85.094304,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,5.85E-02,50834.60382,153,844644,497313,64658,1155308,2400009,1199307,3633573,285285
No Known Affiliation,George L. Mee Memorial Hospital-California,0.5194274029,0.440397351,36.202999,-121.06693,No Different than the National Rate,55,85,No Different than National Benchmark,No Different than the National Rate,3.06E-02,68138.17877,1475,7567993,3899847,-331341,14809025,15118058,37313633,801197,6333691
No Known Affiliation,George Nigh Long Term Acute Care Hospital-Oklahoma,1.01E-03,1.77E-04,35.653546,-96.004906,,,,,,2.90E-02,60327.25796,33,165074,69333,-36181,,,,,
No Known Affiliation,George Nigh Rehabilitation Institute-Oklahoma,1.76E-03,7.93E-04,35.653546,-96.004906,,,,,,4.24E-02,61857.74046,134,1610741,942977,112251,,,,,
No Known Affiliation,Georgetown Behavioral Health Institute-Texas,1.66E-02,0,30.661527,-97.599103,,,,,,0.1572944506,96604.81075,2854,5974004,1630474,-6866581,,,,,
LifePoint,Georgetown Community Hospital-Kentucky,0.1089275688,8.46E-02,38.242173,-84.553894,No Different than the National Rate,73,91,Not Available,No Different than the National Rate,5.78E-02,68545.22001,2410,21826193,12047125,3297969,4704419,11428785,-106376482,142978546,11316547
Tidelands Health,Georgetown County Memorial-South Carolina,0.5246924585,0.3797841021,33.392237,-79.324471,No Different than the National Rate,64,87,Not Available,No Different than the National Rate,-1.87E-03,54090.006,4146,40466635,22442812,5214377,23938635,86993923,119028667,214349159,25004329
Medical College of GA Health,Georgia Regents Medical Center-Georgia,0.1935424218,0.152959056,33.470628,-81.987004,No Different than the National Rate,68,82,No Different than National Benchmark,No Different than the National Rate,4.55E-02,66087.43735,21360,323198617,180170229,62223256,89440593,197390956,316418177,283096557,35846497
No Known Affiliation,Girard Medical Center-Kansas,4.54E-02,2.33E-02,37.502988,-94.88818,No Different than the National Rate,87,Not Available,Not Available,No Different than the National Rate,-3.38E-03,52475.80979,669,5481797,3352825,655361,1980433,6819480,13945750,4842459,1702269
No Known Affiliation,Glen Rose Medical Center-Texas,3.96E-02,5.61E-02,32.20416,-97.797408,No Different than the National Rate,81,Not Available,Not Available,No Different than the National Rate,8.81E-02,79332.61525,389,3146648,2103809,906587,17478772,15980401,17999920,13720711,3657942
Adventist Health System,Glendale Adventist Medical Center-California,0.1594129555,0.1097458904,34.160655,-118.214462,No Different than the National Rate,77,91,No Different than National Benchmark,No Different than the National Rate,4.29E-03,88897.67752,22401,213847071,121551486,30974417,42214993,133909663,243812851,136158762,9770626
Dignity Health,Glendale Memorial Hospital And Health Center-California,5.31E-02,2.68E-02,34.135875,-118.260718,No Different than the National Rate,66,86,No Different than National Benchmark,No Different than the National Rate,-1.12E-03,73972.01388,12059,100676154,52806735,4639804,34540491,62622559,190751791,-86474927,-27708375
Prime Healthcare Services,Glendora Community Hospital-California,1.32E-02,1.69E-03,34.11852,-117.853672,No Different than the National Rate,62,Not Available,Not Available,No Different than the National Rate,-5.17E-04,81957.10434,1562,11305840,6579846,350175,21831101,3846416,23600077,5533443,-5775199
No Known Affiliation,Glenn Medical Center-California,0.1483166515,4.37E-02,39.514179,-122.30476,No Different than the National Rate,49,Not Available,Not Available,No Different than the National Rate,-3.76E-03,61714.02132,224,1168556,638449,84,3852702,5121606,4392702,4834163,951147
IASIS Healthcare,Glenwood Regional Medical Center-Louisiana,0.3315219249,0.3989164528,32.562186,-92.189577,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,6.72E-03,58586.02224,13528,154160279,96601374,38475729,11565035,31838524,-25684989,95669271,23932295
No Known Affiliation,Golden Plains Community Hospital-Texas,0.3169870537,0.2881508079,35.72377,-101.245399,No Different than the National Rate,78,92,Not Available,No Different than the National Rate,-2.45E-02,61454.82275,1154,8727634,5583478,2050411,4502146,6925300,2805981,5493895,5451494
No Known Affiliation,Golden Valley Memorial Healthcare - Clinton Mo-Missouri,0.2796416652,0.3924843424,38.365787,-93.748694,No Different than the National Rate,71,91,Not Available,No Different than the National Rate,2.21E-02,53466.82258,2199,18916859,11738875,4690090,15909375,21738179,31998165,40333568,9836080
Cottage Health System,Goleta Valley Cottage Hospital-California,4.63E-02,3.45E-02,34.451602,-119.803137,No Different than the National Rate,89,94,No Different than National Benchmark,No Different than the National Rate,8.55E-03,102979.955,1720,25612700,13032101,5327501,15670866,20654852,41503452,97387810,13627089
No Known Affiliation,Good Samaritan Hospital - Bakersfield-California,2.62E-02,3.02E-02,35.554822,-118.926658,No Different than the National Rate,60,82,No Different than National Benchmark,No Different than the National Rate,6.11E-02,68343.81346,3859,22534486,14033844,739924,14243601,6224043,24970299,-17743996,-4745494
No Known Affiliation,Good Samaritan Hospital - Los Angeles-California,4.73E-02,7.34E-02,34.053115,-118.264687,No Different than the National Rate,68,88,No Different than National Benchmark,No Different than the National Rate,-3.88E-03,59864.62975,15077,167010068,101492750,44862944,66437935,99346282,142502801,189380839,53160676
HCA,Good Samaritan Hospital - San Jose-California,0.1599543229,0.2128255895,37.256942,-121.922982,No Different than the National Rate,73,88,No Different than National Benchmark,No Different than the National Rate,1.58E-02,139749.5767,20567,244358497,158719030,79758437,65679021,114599060,55387937,210088227,159199196
Trinity Health,Good Samaritan Hospital-Georgia,0.10806376,6.67E-02,33.549734,-83.190049,No Different than the National Rate,87,94,Not Available,No Different than the National Rate,6.43E-02,71964.11697,651,5172690,2719976,506766,2062290,12460527,38748666,8931465,5183196
Tenet,Good Samaritan Medical Center-Florida,0.1242932715,0.1085332005,26.718758,-80.069663,No Different than the National Rate,66,86,No Different than National Benchmark,No Different than the National Rate,6.09E-02,70045.46131,11266,100232055,57844025,16964755,18219756,34344382,19030850,154853997,30309061
No Known Affiliation,Good Shepherd Medical Center-Texas,0.1074474961,0.2915599764,32.508774,-94.725037,No Different than the National Rate,73,89,No Different than National Benchmark,No Different than the National Rate,1.48E-02,66299.32891,15913,241151602,163652111,93108933,39928079,82029587,188131499,-30957564,19289460
No Known Affiliation,Goodall - Witcher Hospital-Texas,0.1218529708,6.08E-02,31.797763,-97.54562,Not Available,Not Available,Not Available,Not Available,No Different than the National Rate,1.28E-02,58885.29676,330,1719486,968458,58778,6910480,9280640,7788499,1908335,1455634
No Known Affiliation,Gove County Medical Center-Kansas,0.2622789784,0.2822299652,38.886491,-100.240233,No Different than the National Rate,80,Not Available,Not Available,No Different than the National Rate,-1.80E-02,61306.30649,366,2696174,1776041,677198,1917109,4637110,8433396,1964487,64253
No Known Affiliation,Grace Medical Center-Texas,6.59E-03,1.43E-02,33.546248,-101.857674,No Different than the National Rate,82,90,Not Available,No Different than the National Rate,2.70E-02,66743.28846,1251,27676639,16296266,10456721,21628869,13942200,21853321,8706617,4613304
No Known Affiliation,Grady General Hospital-Georgia,0.3479262673,0.3088235294,30.799034,-84.220512,No Different than the National Rate,73,89,Not Available,No Different than the National Rate,2.72E-02,49995.0344,1359,8894822,4834714,319395,565831,5611093,565831,32038773,6218620
No Known Affiliation,Grady Memorial Hosp/Grady Health System-Georgia,0.1768212014,5.25E-02,33.753799,-84.390223,No Different than the National Rate,71,87,No Different than National Benchmark,No Different than the National Rate,4.93E-02,63808.65679,34078,417881522,218869643,43851780,168125769,283617217,251459119,414290600,103992057
No Known Affiliation,Grady Memorial Hospital-Oklahoma,0.2986093552,0.2043378995,35.049871,-97.946159,No Different than the National Rate,67,91,No Different than National Benchmark,No Different than the National Rate,-8.23E-03,56906.494,1647,12561063,7100253,1128709,5675753,7225059,8160843,9433666,-870286
No Known Affiliation,Graham County Hospital-Kansas,0.478125,0.2131147541,39.353325,-99.857684,No Different than the National Rate,79,Not Available,Not Available,No Different than the National Rate,-2.92E-02,57478.53284,233,1544664,940671,212740,749743,5829098,3474152,4832164,1208791
No Known Affiliation,Graham Regional Medical Center-Texas,0.2651966627,0.2134292566,33.055769,-98.623322,No Different than the National Rate,77,Not Available,Not Available,No Different than the National Rate,7.69E-03,69591.96607,594,6011864,3592637,1314916,4360885,5897899,7347577,10639960,-818074
No Known Affiliation,Grand River Hospital District-Colorado,0.2329268293,0.5113314448,39.766285,-108.116083,No Different than the National Rate,68,90,Not Available,No Different than the National Rate,9.51E-02,71155.56466,537,7211587,5566764,3915526,23622352,43899480,28454184,98168722,12844558
HCA,Grand Strand Regional Med Ctr-South Carolina,0.4017936961,0.3855000728,33.767622,-78.793779,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,0.1436345797,62209.66685,19634,268539186,154191839,58049890,19209236,65533120,68449614,117390135,127496316
University of Colorado Health,Grandview Hospital-Colorado,2.76E-03,2.96E-03,38.911763,-104.780151,,,,,,5.82E-02,79112.94348,147,1052112,683410,249394,,,,,
No Known Affiliation,Great Bend Regional Hospital - Great Bend Ks-Kansas,0.2128197032,0.2187192118,38.373875,-98.805212,No Different than the National Rate,79,90,Not Available,No Different than the National Rate,4.67E-03,63375.59223,1886,19974994,11680048,5129421,1973900,8550593,4009797,9384535,5972764
AHMC & Healthcare Inc.,Greater El Monte Community Hospital-California,4.88E-02,1.28E-02,34.0454,-118.052891,No Different than the National Rate,59,86,Not Available,No Different than the National Rate,-9.93E-03,77632.6889,4004,22106659,10753001,-2085509,26443345,39530234,26443345,15091907,8247891
No Known Affiliation,Greeley County Health Services-Kansas,0.4617414248,0.141025641,38.480559,-101.806017,No Different than the National Rate,91,Not Available,Not Available,No Different than the National Rate,-3.81E-02,67595.18402,235,1490065,908013,172698,1428996,2565133,1467681,3928842,-60791
HCA,Green Oaks Hospital-Texas,1.97E-02,8.17E-05,32.918513,-96.772772,,,,,,3.51E-02,73090.65171,5235,11610584,3392664,-12571932,5169951,5228759,61044886,-47968247,6246306
Greenville Health System,Greenville Memorial Med. Center-South Carolina,0.4205929222,0.4499972751,34.778343,-82.381665,No Different than the National Rate,73,88,No Different than National Benchmark,No Different than the National Rate,5.47E-02,68866.38871,37848,513337532,300929742,120549352,-758211,596945469,-758211,864617093,53918449
Great Plains Health Alliance Inc.,Greenwood County Hospital-Kansas,0.3793103448,0.1666666667,37.881952,-96.354561,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,-4.50E-02,52625.34043,312,1820697,1110028,215046,1748968,3238590,2156926,2886311,894021
Ernest Health Inc.,Greenwood Regional Rehab-South Carolina,5.10E-02,2.27E-02,34.144016,-82.141469,,,,,,2.37E-02,55026.19659,861,10903894,6794821,1791109,,,,,
Greenville Health System,Greer Memorial Hospital-South Carolina,0.1055410804,9.73E-02,34.897252,-82.258242,No Different than the National Rate,84,93,Not Available,No Different than the National Rate,8.10E-02,77563.6935,4129,37185320,21436839,7334493,970076,36130061,970076,138839960,19032482
Catholic Health Initiatives,Grimes St. Joseph Health Center-Texas,5.19E-02,1.46E-02,30.37259,-96.041796,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,3.55E-02,63662.69673,154,1350966,818104,191423,646325,1584220,646325,2502147,-210997
Great Plains Health Alliance Inc.,Grisell Memorial Hospital District No. 1-Kansas,0.2047244094,9.09E-02,38.630588,-99.912078,Not Available,Not Available,Not Available,Not Available,Not Available,-2.45E-02,74868.65411,38,266676,168126,47166,2063314,3834974,2063314,3744480,134455
Sharp HealthCare,Grossmont Hospital-California,0.3398234096,0.1885342458,32.777667,-117.022027,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,-4.62E-04,81768.42465,31194,301275607,163157695,31920685,73883801,175732531,203231572,675843068,75969494
No Known Affiliation,Guadalupe Regional Medical Center-Texas,0.2303325223,0.1325757576,29.534188,-97.939841,No Different than the National Rate,75,89,No Different than National Benchmark,No Different than the National Rate,6.26E-02,69827.73589,4692,38373586,21231950,4406898,8495689,45776664,99415525,54207603,10602696
Baptist  Health Care - Pensacola,Gulf Breeze Hospital-Florida,9.07E-02,7.00E-02,30.336268,-87.127755,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,0.05814638908,73712.67991,4203,49303454,27290565,9762843,10103796,17678760,43777209,143627287,29001808
Lee Memorial Health System,Gulf Coast Medical Center Lee Memorial Health System-Florida,0.2719921588,0.2228480161,26.535831,-81.824173,No Different than the National Rate,69,87,No Different than National Benchmark,No Different than the National Rate,0.1271314783,70291.10418,22990,267059968,150192357,50737881,36558995,54534189,366300903,9554138,60762152
No Known Affiliation,Gulf Coast Medical Center-Texas,1.26E-02,3.92E-03,29.294009,-96.080232,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,0.06028762138,87541.98699,780,3487071,1871331,-436011,,,,,
HCA,Gulf Coast Regional Medical Center-Florida,0.4061755895,0.4544905356,30.197819,-85.657702,No Different than the National Rate,72,87,No Different than National Benchmark,No Different than the National Rate,6.45E-02,62612.89919,14484,140696308,80146452,23190778,12601279,36322277,-1845840,113548387,66335968
Universal Health Services Inc.,Gulf Coast Treatment Center-Florida,8.32E-04,0,30.462345,-86.645209,,,,,,3.91E-02,65202.21392,23,100470,56228,-30903,,,,,
No Known Affiliation,Gunnison Valley Hospital-Colorado,0.5560693642,0.6046511628,38.512329,-107.060272,No Different than the National Rate,76,92,Not Available,No Different than the National Rate,0.1028815523,68748.59289,664,6340920,3822136,1576575,5652398,14408979,14489710,32446411,8079842
No Known Affiliation,Gwinnett Medical Center - Duluth-Georgia,7.13E-02,4.58E-02,33.977248,-84.148624,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,9.20E-02,87392.42337,5741,67383145,39512943,13338662,215157511,630069213,519228275,419757164,3389491
No Known Affiliation,Gwinnett Medical Center-Georgia,0.3353716428,0.2639084936,33.930217,-83.929807,No Different than the National Rate,74,89,No Different than National Benchmark,No Different than the National Rate,0.1115709647,84004.54752,28961,350362090,207518674,82552380,215157511,630069213,519228275,419757164,3389491
H Lee Moffitt,H Lee Moffitt Cancer Center & Research Institute Hospital-Florida,7.91E-03,1.52E-02,28.050695,-82.450566,,,,,,8.19E-02,69599.83815,9047,264288792,159546153,94915459,,,,,
No Known Affiliation,Habersham Medical Center-Georgia,0.2127114871,0.1237350506,34.580579,-83.577768,No Different than the National Rate,69,89,Not Available,No Different than the National Rate,8.51E-02,57687.29023,2583,18022601,9311760,439167,7126974,9616435,47760758,1061870,5960880
Halifax Health,Halifax Health Medical Center- Port Orange-Florida,9.44E-02,6.62E-02,29.106726,-80.981606,No Different than the National Rate,68,86,No Different than National Benchmark,No Different than the National Rate,6.25E-02,62361.51649,1390,12000683,6898758,1475530,82221000,300966000,619086000,135014000,57882801
Halifax Health,Halifax Health Medical Center-Florida,0.4076079881,0.4180077691,29.192863,-81.051495,No Different than the National Rate,68,86,No Different than National Benchmark,No Different than the National Rate,8.46E-02,58487.35094,21434,267589409,152952384,50519202,82221000,300966000,619086000,135014000,57882801
Halifax Health,Halifax Psychiatric Center-North-Florida,1.68E-02,1.15E-02,29.233213,-81.069651,,,,,,9.09E-02,57889.35361,1474,5773940,3408986,-1034621,,,,,
Sentara Healthcare,Halifax Regional Health System - A Member Of Sentara Healthcare-Virginia,0.6173041522,0.5691788526,36.678875,-78.97357,No Different than the National Rate,64,89,Not Available,No Different than the National Rate,-1.13E-03,53213.3602,4165,38181105,21404736,5130004,11454872,30557377,37903116,97366235,9224911
No Known Affiliation,Hamilton County Hospital-Kansas,0.1531914894,9.86E-02,37.995857,-101.811284,Not Available,Not Available,Not Available,Not Available,No Different than the National Rate,-8.60E-04,56189.06897,55,433787,265716,59440,1980458,5580791,2494559,4865228,-1645420
No Known Affiliation,Hamilton General Hospital-Texas,7.23E-03,7.84E-03,31.676428,-98.091089,No Different than the National Rate,90,96,Not Available,No Different than the National Rate,1.28E-02,58883.29654,806,4829487,2967380,682751,3897116,16750410,11977116,17869678,1486439
No Known Affiliation,Hamilton Hospital District-Texas,0.5391432792,0.4371584699,33.338601,-98.691477,No Different than the National Rate,79,Not Available,Not Available,No Different than the National Rate,-2.25E-02,50366.76963,542,3488102,2234513,701925,6830346,6063114,7185731,5832848,1646773
Hamilton Medical Center,Hamilton Medical Center Inc.-Georgia,0.6537577666,0.5869172389,34.74502,-85.003215,No Different than the National Rate,69,89,No Different than National Benchmark,No Different than the National Rate,5.86E-02,60734.37178,10991,99748963,57787370,16397265,30273187,42425121,164417412,295265376,39073632
No Known Affiliation,Hampton Regional Medical Center-South Carolina,0.1987068966,0.1434782609,32.804481,-81.027664,No Different than the National Rate,66,90,No Different than National Benchmark,No Different than the National Rate,1.44E-03,46354.27368,625,4985468,2870736,666025,3716202,16609204,37218882,6095261,4769601
Riverside Health System,Hampton Roads Specialty Hospital-Virginia,3.76E-03,2.25E-03,37.038243,-76.51851,,,,,,3.59E-02,75119.45814,240,4868503,3074682,1373930,11562000,1557000,11562000,-4575000,-236177
No Known Affiliation,Hannibal Regional Hospital - Hannibal Mo-Missouri,0.2254188856,0.1815555556,39.695635,-91.445424,No Different than the National Rate,68,88,No Different than National Benchmark,No Different than the National Rate,5.89E-03,58391.00796,4828,49236692,28052015,9442902,28679942,39023370,48501795,93538827,12364416
No Known Affiliation,Hanover Hospital-Kansas,0.4166666667,0.2542372881,39.881456,-96.863069,Not Available,91,Not Available,Not Available,No Different than the National Rate,-2.53E-02,54533.95128,118,769726,487988,142769,564403,977451,564403,898638,186977
No Known Affiliation,Hardin Medical Center-Tennessee,0.3087116564,0.2478873239,35.167484,-88.144788,No Different than the National Rate,68,90,Not Available,No Different than the National Rate,1.59E-02,51784.26248,1717,9750149,5187859,-40084,5651994,21996116,14901906,23161721,5261006
Baptist Health - KY,Hardin Memorial Health-Kentucky,0.4218872973,0.3689336692,37.705713,-85.841795,No Different than the National Rate,69,88,No Different than National Benchmark,No Different than the National Rate,4.43E-02,63211.46661,14780,134667624,76911177,19352926,44998146,75072160,107494823,146310183,32087324
No Known Affiliation,Hardtner Medical Center-Louisiana,0.1380119069,7.18E-02,31.879575,-92.210164,No Different than the National Rate,77,Not Available,Not Available,No Different than the National Rate,-9.47E-03,55705.0807,1091,7982051,4824790,885987,2896282,10316523,8733270,9856714,2523321
Appalachian Regional Healthcare,Harlan Arh Hospital-Kentucky,0.4648676171,0.3406326034,36.764336,-83.33673,No Different than the National Rate,60,88,Not Available,Worse than the National Rate,-4.50E-02,39271.49379,4946,29937098,16052586,-695532,-6480483,6449222,-6038748,28261448,11730803
Prime Healthcare Services,Harlingen Medical Center-Texas,0.1812300257,0.1623412479,26.256965,-97.672522,No Different than the National Rate,77,91,Not Available,No Different than the National Rate,3.98E-02,49112.54566,6332,68336519,37735182,10514171,11457272,30039978,61933989,37086484,5514676
No Known Affiliation,Harper County Community Hospital-Oklahoma,0.2946428571,0.126984127,36.800262,-99.525598,No Different than the National Rate,95,Not Available,Not Available,No Different than the National Rate,2.87E-03,63134.38674,124,808247,508998,139941,495531,1904172,650862,1963128,-137471
No Known Affiliation,Harper Hospital District #5-Kansas,0.1925465839,0.1082802548,37.306189,-98.012393,No Different than the National Rate,79,Not Available,Not Available,No Different than the National Rate,-3.42E-02,63230.07548,194,1476697,979479,357951,1967491,3742029,7259097,963232,832448
University of Texas,Harris County Psychiatric Center-Texas,1.72E-02,1.25E-04,29.696925,-95.357596,,,,,,6.44E-02,75819.40044,9170,20966314,6511216,-21742524,,,,,
No Known Affiliation,Harrison County Community Hospital - Bethany Mo-Missouri,0.2613843352,0.105,40.258715,-94.030614,No Different than the National Rate,66,Not Available,Not Available,No Different than the National Rate,-2.90E-03,45456.80453,424,2501057,1499624,269328,3933027,6554858,7255643,9581686,727502
No Known Affiliation,Harrison Memorial Hospital-Kentucky,0.3665669658,0.2732316227,38.415448,-84.290801,No Different than the National Rate,76,92,Not Available,No Different than the National Rate,6.18E-03,53098.15404,1592,10781903,6140374,1169803,4529491,16945338,20218183,19485577,4017918
Rural Community Hospitals of America,Haskell County Community Hospital-Oklahoma,0.1964285714,9.43E-02,35.28431,-95.173616,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,1.62E-02,53890.12055,346,2568107,1567177,359152,26577,2243688,1770858,951218,74342
No Known Affiliation,Haven Behavioral Hospital Of Frisco-Texas,2.26E-03,4.55E-05,33.126336,-96.879271,,,,,,7.08E-02,97622.3312,891,5538332,3034301,-706164,,,,,
